speaker_00,00:00.000,00:03.320,沈总好
SPEAKER_02,05:11.520,05:12.560,应该说是
SPEAKER_02,05:13.200,05:14.080,就是
SPEAKER_02,05:14.080,05:17.760,对现在是基本上各个省市都是
SPEAKER_02,05:17.760,05:20.560,取消了计划电或者基础电量这一块
SPEAKER_02,05:20.560,05:22.560,基本上全是一个
SPEAKER_02,05:22.560,05:25.680,就是也不叫现货吧
SPEAKER_02,05:25.680,05:29.040,它实际上电量这一块也是分了一个长斜
SPEAKER_02,05:29.040,05:32.240,年度长斜还有月度长斜之类的
SPEAKER_02,05:32.240,05:34.640,就有点类似于煤炭这一块
SPEAKER_02,05:34.640,05:36.400,但是它电力市场
SPEAKER_02,05:36.400,05:38.560,它不是一个完全放开的一个市场
SPEAKER_02,05:38.560,05:40.000,因为它有限价
SPEAKER_02,05:40.000,05:41.080,它有限价
SPEAKER_02,05:41.120,05:43.000,基本上最高你不能超过
SPEAKER_02,05:43.000,05:44.760,就是它有一个
SPEAKER_02,05:44.760,05:47.400,各省有一个基本电价的20%
SPEAKER_02,05:47.400,05:47.880,对
SPEAKER_02,05:47.880,05:50.040,然后那个就是
SPEAKER_02,05:50.040,05:50.840,嗯
SPEAKER_02,05:51.600,05:53.160,就煤炭这一块
SPEAKER_02,05:53.160,05:55.640,你到时候把那个问题
SPEAKER_02,05:55.640,05:56.640,到时候给到我们
SPEAKER_02,05:56.640,05:58.280,我们也跟就是
SPEAKER_02,05:58.280,06:00.720,要一下就是中国电力全口径的
SPEAKER_02,06:00.720,06:02.200,目前的一些情况
SPEAKER_02,06:02.200,06:04.920,因为我了解的就是各家电厂的情况
SPEAKER_02,06:04.920,06:05.800,可能不一样
SPEAKER_02,06:05.800,06:07.320,有的呢做了一些
SPEAKER_02,06:07.320,06:10.000,煤电连营的一些项目
SPEAKER_02,06:10.000,06:11.120,那么可能
SPEAKER_02,06:11.120,06:14.040,比如说我们平纬发电那一块
SPEAKER_02,06:14.040,06:16.080,那么它是它的
SPEAKER_02,06:16.080,06:19.320,它和中国电力是占了60%的股份
SPEAKER_02,06:19.320,06:21.880,然后40%是淮矿的
SPEAKER_02,06:21.880,06:25.600,那么淮矿可能给它的煤炭量会多一点
SPEAKER_02,06:25.600,06:28.640,还有一些我们有一些坑口电厂
SPEAKER_02,06:28.640,06:31.600,那么还有就是各种情况还不一样
SPEAKER_02,06:31.600,06:33.520,但整体的数据我这边没有
SPEAKER_02,06:33.520,06:36.520,可能事后我们再跟相关部门再要一下
SPEAKER_02,06:36.520,06:39.000,大致的一些数据和占比的情况
SPEAKER_04,06:39.040,06:40.760,嗯好明白
SPEAKER_04,06:40.760,06:43.240,然后就是电就是上网这一块的话
SPEAKER_04,06:43.240,06:45.360,咱们都是咱们的下游
SPEAKER_04,06:45.360,06:47.160,唯一的客户就是国家电网
SPEAKER_04,06:47.160,06:49.040,以及各地的这个
SPEAKER_04,06:49.040,06:50.880,它的这种各地的电力公司吗
SPEAKER_04,06:50.880,06:53.280,还是说有那种直接2B的那种
SPEAKER_04,06:53.280,06:55.080,直供电的这种客户
SPEAKER_02,06:56.520,06:57.800,它现在是这样的
SPEAKER_02,06:57.800,06:59.520,就是这一块呢
SPEAKER_02,06:59.520,07:00.360,实际上各
SPEAKER_02,07:00.360,07:03.080,可能各个省市还有些差异吧
SPEAKER_02,07:03.080,07:07.000,嗯就是像江苏这一块区域的话
SPEAKER_02,07:07.000,07:08.520,实际上我们结算的呢
SPEAKER_02,07:08.520,07:12.280,还是都是跟这个省电力公司来结算的
SPEAKER_02,07:12.280,07:14.680,就是真正的一个结算我的
SPEAKER_02,07:14.680,07:16.680,呃这个我的电费收入这一块
SPEAKER_02,07:16.680,07:18.680,这一块是没有放开的
SPEAKER_02,07:18.680,07:21.720,那么从呃从真正意义上
SPEAKER_02,07:21.720,07:24.440,就是我的交易对手这一块来说呢
SPEAKER_02,07:24.440,07:26.240,实际上也有大用户
SPEAKER_02,07:26.240,07:27.840,还有受电公司
SPEAKER_02,07:27.840,07:30.160,像我们这边长寿电厂
SPEAKER_02,07:30.160,07:32.960,那么它一年大部分的电量会通过
SPEAKER_02,07:32.960,07:36.440,它跟地方合作的一个受电公司
SPEAKER_02,07:36.440,07:41.320,去获取年度的一些长期的一些交易的一些电量
SPEAKER_02,07:41.320,07:43.720,然后还有月度的一些竞价
SPEAKER_02,07:43.720,07:44.960,但整体来说呢
SPEAKER_02,07:44.960,07:47.840,这一块就是实际上还是有保障的
SPEAKER_02,07:47.840,07:51.680,就不是说我就相当于是取消了计划电
SPEAKER_02,07:51.680,07:52.880,这这一块之后
SPEAKER_02,07:52.880,07:55.000,就我的电量是没有保障的
speaker_无,07:55.000,07:58.960,嗯明白就是只是说形式上面会不一样
SPEAKER_02,07:58.960,08:00.000,但实际上结算呢
SPEAKER_02,08:00.000,08:02.200,都是跟电网公司去结算的
SPEAKER_04,08:02.200,08:02.800,哦明白
SPEAKER_04,08:02.800,08:06.600,那就相当于咱们的应收账款的那个对象
SPEAKER_04,08:06.600,08:08.240,主要就是电网公司
SPEAKER_04,08:08.240,08:10.960,这一块的回款可能会有实质
SPEAKER_04,08:10.960,08:13.880,但是不太会有坏账的这种风险
SPEAKER_04,08:13.880,08:14.920,能这样理解吗
SPEAKER_02,08:14.920,08:17.160,嗯这个基本上没有问题
SPEAKER_02,08:17.160,08:19.080,至少目前来说的话
SPEAKER_02,08:19.080,08:22.560,整个国家就是各个省市这个电费结算
SPEAKER_02,08:22.560,08:26.320,基本上就是都是通过这个电网公司来结的
SPEAKER_02,08:26.320,08:29.800,而且像集团公司对这个要求
SPEAKER_02,08:29.800,08:33.080,包括中国电力对下面三级单位也是有要求的
SPEAKER_02,08:33.080,08:37.240,就是我们的电费回收率是每个月都要达到100%
SPEAKER_02,08:37.240,08:42.440,就相当于我当月要把上个月的电费要全部结回来的
SPEAKER_02,08:42.440,08:44.920,所以这个火电这一块
SPEAKER_02,08:44.920,08:48.040,包括当然新能源它除了补贴这一块
SPEAKER_02,08:48.040,08:50.240,新能源的话因为补贴这一块
SPEAKER_02,08:50.240,08:53.800,去年是它给国家拨了大概30批的一个
SPEAKER_02,08:53.800,08:56.960,就是财政补助的这个资金之后呢
SPEAKER_02,08:56.960,09:01.520,基本上清了至少有50%的这个新能源补贴
SPEAKER_02,09:01.520,09:04.520,那么像火电和新能源的那个基础
SPEAKER_02,09:04.520,09:07.360,新能源应该有基础电量这一块
SPEAKER_02,09:07.360,09:10.800,就是基础的那一块电价这一块呢
SPEAKER_02,09:10.800,09:13.120,基本上次月都能结回来的
SPEAKER_02,09:13.120,09:18.200,所以这个现金流还是相对比较充裕的
SPEAKER_04,09:18.200,09:19.320,好的明白
SPEAKER_04,09:19.320,09:23.360,然后就是有关注到水电业务这一块啊
SPEAKER_04,09:23.360,09:26.080,咱们19年20年和21年
SPEAKER_04,09:26.120,09:30.600,其实水电的营业收入都是50多个亿
SPEAKER_04,09:30.600,09:33.880,但是它的毛利率波动会比较大
SPEAKER_04,09:33.880,09:36.000,像19年是35%
SPEAKER_04,09:36.000,09:38.680,20年是将近50%
SPEAKER_04,09:38.680,09:42.840,然后21年又跌到了40%以下
SPEAKER_04,09:42.840,09:44.400,只有37%
SPEAKER_04,09:44.400,09:46.960,就是在一个收入没有大幅波动的情况下
SPEAKER_04,09:46.960,09:50.320,为什么它的这个毛利率会有这么大的波动呢
SPEAKER_02,09:50.320,09:53.040,水电这一块呢主要是我们
SPEAKER_02,09:53.040,09:55.960,类似于虽然是装载了中国电力
SPEAKER_02,09:55.960,09:59.840,但是它是另外一家公司在管理这一块情况
SPEAKER_02,09:59.840,10:01.080,我们再了解一下
SPEAKER_02,10:01.080,10:03.880,我的判断我不知道是不是因为
SPEAKER_02,10:03.880,10:08.480,这个我们具体再了解一下吧好吗
SPEAKER_02,10:08.480,10:10.080,我现在也不太好说
SPEAKER_02,10:10.080,10:13.040,因为是我们它那个管理关系
SPEAKER_02,10:13.040,10:15.400,它虽然资产是装载了中国电力
SPEAKER_02,10:15.400,10:17.040,但它主要的管理关系呢
SPEAKER_02,10:17.040,10:20.720,就类似于是集团公司的另外一家二级单位
SPEAKER_02,10:20.720,10:25.360,我们就是叫武林电力在具体在管理
SPEAKER_02,10:25.360,10:29.840,所以呢我们可能得后续再了解一下这个情况
SPEAKER_02,10:29.840,10:31.440,你把这个问题解一解
SPEAKER_04,10:31.440,10:32.560,对没问题
SPEAKER_04,10:32.560,10:34.960,这个武林电力相当于是咱们
SPEAKER_04,10:34.960,10:36.960,名义上是咱们的一个子公司
SPEAKER_04,10:36.960,10:40.800,但从管理上来讲是咱们的兄弟单位
SPEAKER_02,10:40.800,10:45.000,对类似于是它的管理关系是在那边
SPEAKER_02,10:45.000,10:50.120,但它的资产的股权关系是属于中国电力下面的
SPEAKER_04,10:50.120,10:53.120,哦好的没问题
SPEAKER_04,10:53.160,10:55.120,嗯那这个
SPEAKER_04,10:55.120,10:58.680,然后再就是光伏和风电这一块
SPEAKER_04,10:58.680,11:01.840,因为这两年也是有这种政策的一些变动
SPEAKER_04,11:01.840,11:03.480,包括补贴的退波
SPEAKER_04,11:03.480,11:06.080,然后想了解一下说它这种
SPEAKER_04,11:06.080,11:08.080,第一个问题就是
SPEAKER_04,11:08.080,11:11.200,它这种补贴的退波是说
SPEAKER_04,11:11.200,11:14.840,新老化断之前补贴就是多少了
SPEAKER_04,11:14.840,11:17.440,在多少年之内一直是那个补贴
SPEAKER_04,11:17.440,11:23.920,还是说它是逐渐历史上已经上网的这些装机
SPEAKER_04,11:23.920,11:28.000,它的补贴的电价补贴也会逐渐变小
speaker_无,11:28.000,11:30.640,就这块还不太明白
SPEAKER_02,11:30.640,11:35.040,它补贴退波现在实际上从哪一年开始
SPEAKER_02,11:35.040,11:38.960,应该都是平价上网的一个光伏和风电项目了
SPEAKER_04,11:38.960,11:40.320,就没有了
SPEAKER_02,11:40.320,11:43.360,它就是看你什么时候投产的
SPEAKER_02,11:43.360,11:44.800,你只要在那个时间点
SPEAKER_02,11:44.840,11:47.080,应该是2018年6月30号之前
speaker_无,11:47.080,11:48.680,是不是就是
SPEAKER_02,11:48.680,11:50.760,还是在后面
SPEAKER_02,11:50.760,11:53.480,就相当于是以前是基本上每年
SPEAKER_02,11:53.480,11:57.920,比如说你2017年6月30号之前是多少
SPEAKER_02,11:57.920,11:59.720,是7毛5还是8毛5的
SPEAKER_02,11:59.720,12:03.000,然后到2018年6月30号是7毛5
SPEAKER_02,12:03.000,12:05.960,你只要在那个时间段之前
SPEAKER_02,12:05.960,12:13.360,就相当于你全部投产上网了之后
SPEAKER_02,12:13.520,12:16.320,你就能永久性的享受这个补贴
SPEAKER_02,12:16.320,12:17.960,当然它也不叫永久性
SPEAKER_02,12:17.960,12:25.160,它应该有个20年还有多少万小时的一个规定的
SPEAKER_02,12:25.160,12:28.320,就不会说是你原来核定你带补贴的
SPEAKER_02,12:28.320,12:29.360,你符合条件的
SPEAKER_02,12:29.360,12:31.400,那后续就没有了
SPEAKER_04,12:31.400,12:34.560,它其实就是一个根据上网并网的这个
SPEAKER_04,12:34.560,12:37.000,时间的洗脑划断这样的一个
SPEAKER_02,12:37.000,12:39.920,对你当时投产的时间来看的
SPEAKER_04,12:39.920,12:41.000,好的明白
SPEAKER_04,12:41.000,12:42.960,然后接下来一个问题就是
SPEAKER_04,12:42.960,12:47.200,因为咱们现在在建和拟建的
SPEAKER_04,12:47.200,12:53.360,这个风电以及光伏的装机计划会比较大
SPEAKER_04,12:53.360,12:56.160,我的疑问分成两块
SPEAKER_04,12:56.160,12:59.560,第一块是这种投资计划
SPEAKER_04,12:59.560,13:03.560,咱们有能给一个表格一样的数码
SPEAKER_04,13:03.560,13:05.560,第二块问题就是
SPEAKER_04,13:05.560,13:07.960,就是在投之前
SPEAKER_04,13:07.960,13:10.800,因为毕竟还是有一些拟投的项目
SPEAKER_04,13:10.800,13:16.040,在投之前这种上网的这种销纳的
SPEAKER_04,13:16.040,13:18.280,这个我不知道是用一个指标
SPEAKER_04,13:18.280,13:19.800,还是用什么来衡量
SPEAKER_04,13:19.800,13:23.800,就是能否保证他
SPEAKER_04,13:23.800,13:27.600,投钱就能保证他将来能一定能上网
SPEAKER_04,13:27.600,13:30.400,而且在投钱咱们对他的这种
SPEAKER_04,13:30.400,13:35.000,财务内部财务的这个投资的评价标准是什么
speaker_无,13:36.000,13:39.000,嗯
SPEAKER_02,13:39.000,13:42.200,就是你你你讲的就是
SPEAKER_02,13:42.200,13:43.400,呃
SPEAKER_02,13:43.400,13:47.200,就是你再说一下就是评价
SPEAKER_02,13:47.200,13:50.200,就是你怎么来测算他的经济效益这一块吗
SPEAKER_04,13:50.200,13:52.600,对就经济效益这一块的话就相当于投钱
SPEAKER_04,13:52.600,13:55.000,咱们会有一个类似于
SPEAKER_04,13:55.000,13:56.000,啊
SPEAKER_04,13:56.000,13:59.800,利润率以及这个IRR就是内部收益率
SPEAKER_04,13:59.800,14:01.800,这样的一个一个一个
SPEAKER_04,14:01.800,14:04.000,呃测算的这种
SPEAKER_04,14:04.000,14:05.800,测算的
SPEAKER_04,14:05.800,14:09.800,呃评审会评估会这种这种决策机制吗
SPEAKER_04,14:09.800,14:13.800,如果有的话那这种指标一般会设在什么位置
SPEAKER_04,14:13.800,14:16.800,啊以及他基础的假设是什么啊
SPEAKER_02,14:16.800,14:19.400,就是他新能源项目呢
SPEAKER_02,14:19.400,14:22.200,风风电荣光复啊之后新能源项目呢
SPEAKER_02,14:22.200,14:26.000,呃他是集团会有一个标准的
SPEAKER_02,14:26.000,14:31.200,呃比如说是他的呃这个这个全投资收益率要达到多少
SPEAKER_02,14:31.200,14:35.200,然后他的呃资本金的内部收益率需要达到多少
SPEAKER_02,14:35.200,14:39.000,他有一个最最低的一个要求除非是这种
SPEAKER_02,14:39.000,14:42.600,呃新产业比如说现在的什么零碳电厂啊
SPEAKER_02,14:42.600,14:47.000,包括那个呃储能啊或者是有一些就是嗯
SPEAKER_02,14:47.000,14:50.200,就是无人区的一些一些一些呢
SPEAKER_02,14:50.200,14:53.500,可能从中国电力会集团战略性的一个角度
SPEAKER_02,14:53.500,14:56.400,那可能会收益率会相对的放低一点
SPEAKER_02,14:56.400,14:59.100,但其他的这种普通的风电和光复
SPEAKER_02,14:59.100,15:02.400,他都是有一个最低收益率的一个要求的
SPEAKER_02,15:02.400,15:08.100,然后这一块呢实际上每个项目现在呃都是要在前期真的投资前
SPEAKER_02,15:08.100,15:11.700,他都要上会决策的实际上要经过好几个程序
SPEAKER_02,15:11.700,15:17.800,首先第一个可能是呃叫嗯立项吧嗯
SPEAKER_02,15:17.800,15:20.200,就是呃首先要立项
SPEAKER_02,15:20.200,15:21.400,然后立项了之后呢
SPEAKER_02,15:21.400,15:25.400,你才可以开展一些呃前期的一些项目
SPEAKER_02,15:25.400,15:30.400,比如说你可以可以找事后所来做一些经济效益的测算啊
SPEAKER_02,15:30.400,15:32.500,边界条件的一些核定啊
SPEAKER_02,15:32.500,15:35.200,一些一些事项的进调啊
SPEAKER_02,15:35.200,15:43.700,然后会进行一个呃叫呃项目的一个就是你刚才说的一个经济效益的一个评审
SPEAKER_02,15:43.700,15:49.200,然后评审完了之后还要上中国电力的一个投投决会投决会呢
SPEAKER_02,15:49.200,15:55.000,就相当于中国电力的应该说是呃金银层的一个比较高层次的
SPEAKER_02,15:55.100,15:56.700,一个决策会
SPEAKER_02,15:56.700,15:59.200,然后决策会决策完了之后呢
SPEAKER_02,15:59.200,16:02.300,你后后面他真的要开工之前
SPEAKER_02,16:02.300,16:05.100,他还会有要上一个办公会还是什么
SPEAKER_02,16:05.100,16:06.700,就是同意你开工
SPEAKER_02,16:06.700,16:09.400,所以实际上他有一个层层的一个把关
SPEAKER_02,16:09.400,16:14.000,但是你最低的一个要求就是你要符合这个收益的条件
SPEAKER_02,16:14.000,16:15.100,实际上目前呢
SPEAKER_02,16:15.100,16:20.200,就是呃经过实际上呃前面这个这个新能源
SPEAKER_02,16:20.200,16:26.100,因为国家提出3060这个这个碳碳达峰和碳综合呢
SPEAKER_02,16:26.100,16:27.300,他有一个阶段呢
SPEAKER_02,16:27.300,16:31.700,确实是呃当时发展的时候会比较粗放型的
SPEAKER_02,16:31.700,16:33.000,但目前呢
SPEAKER_02,16:33.000,16:35.800,现在都是要求是高质量发展
SPEAKER_02,16:35.800,16:38.900,就是你的你必须要收益率要达到呃
SPEAKER_02,16:38.900,16:39.700,另外一个呢
SPEAKER_02,16:39.700,16:41.200,就是要合规方面
SPEAKER_02,16:41.200,16:42.600,你不能踩红线
SPEAKER_02,16:42.600,16:46.200,就是有一些呃生态环保的要求不符合啊
SPEAKER_02,16:46.200,16:49.200,或者是有一些土地的红线啊
SPEAKER_02,16:49.200,16:52.000,就是这主要是把握这两点吧
SPEAKER_02,16:52.000,16:53.000,然后同时呢
SPEAKER_02,16:53.000,16:56.300,你这个项目上头角之前呢
SPEAKER_02,16:56.300,16:57.500,就是呃
SPEAKER_02,16:57.500,17:00.400,因为中国电力本部也管不过来这么多项目吗
SPEAKER_02,17:00.400,17:08.100,他会依托就下面大的电厂或者有一些专门的一些平台公司去负责这一些项目的一些开发
SPEAKER_02,17:08.100,17:14.000,就是呃属于的一些一些呃公司去去开发这些项目
SPEAKER_02,17:14.000,17:18.700,那么呃基本上是这个呃代管的这个单位的
SPEAKER_02,17:18.700,17:21.600,这个呃领导就是一把手吧
SPEAKER_02,17:21.600,17:23.600,他都要欠责任状的
SPEAKER_02,17:23.600,17:26.000,前5年你的收益要达到多少
SPEAKER_02,17:26.000,17:29.200,然后你整体的收益率要达到多少啊
SPEAKER_02,17:29.200,17:32.800,所以都有一些保障的一些体系的嗯
SPEAKER_04,17:32.800,17:33.500,明白
SPEAKER_04,17:33.500,17:38.100,那这一块具体的财务数能方便透露一点吧
SPEAKER_04,17:38.100,17:39.700,就是比如说最低
SPEAKER_04,17:39.700,17:42.700,咱们的内部收益率的要求要达到多少
SPEAKER_04,17:42.700,17:47.600,然后这种呃项目的这种销售利润率要达到多少
SPEAKER_04,17:47.600,17:50.100,这个有个最低的数或者一个大概的数就行
SPEAKER_02,17:51.200,17:57.800,他这样子就是反正以前的资本金收益率的那个呃要求呢
SPEAKER_02,17:57.800,18:00.700,应该是反正差不多在10%左右吧
SPEAKER_02,18:00.700,18:05.600,以前的补贴项目和这个非补贴项目可能会有有点差异
SPEAKER_02,18:05.600,18:10.200,但现在呢基本上是差不多就是在10%左右嗯
SPEAKER_02,18:10.200,18:13.400,嗯10%这个是资本金的一个内部收益率
SPEAKER_04,18:14.000,18:15.500,资本金的内部收益率
SPEAKER_04,18:15.600,18:19.100,那这个是这个是考虑了这个融资以后
SPEAKER_04,18:19.400,18:23.200,就是可以踢踢出了财务财务的成本以后
SPEAKER_04,18:23.200,18:25.900,相当于类似于ROE的这样一个概念是吧
SPEAKER_02,18:26.200,18:32.100,对对对就是1%是20%和80%的一个资本结构吗
SPEAKER_02,18:32.100,18:33.800,嗯80%贷款
SPEAKER_02,18:33.800,18:36.200,然后一般贷款呢也是按照
SPEAKER_02,18:36.200,18:39.900,呃基本上是按照我们现有的LPR来算的吧
SPEAKER_04,18:40.500,18:44.300,嗯相当于假基础假设是LPR的融资成本
speaker_无,18:45.000,18:46.600,对呃5年期
SPEAKER_02,18:47.500,18:51.100,嗯长期的就是他有一些铺底的流动资金
SPEAKER_02,18:51.100,18:53.000,那可能是3.65现在是
SPEAKER_02,18:53.000,18:55.300,然后5年以上的可能4.3左右
SPEAKER_04,18:55.800,18:57.100,哦好明白
SPEAKER_04,18:58.100,18:58.600,嗯
SPEAKER_04,19:00.700,19:01.200,然后
SPEAKER_04,19:04.600,19:05.700,啊然后再就是说
SPEAKER_04,19:06.200,19:10.700,呃因为我们这单业务是把它会寄到少数股东权益里
SPEAKER_04,19:11.700,19:16.400,嗯啊那呃除了我们这单业务之外
SPEAKER_04,19:16.400,19:18.700,那公司历史上还开展过
SPEAKER_04,19:19.100,19:22.500,呃多少量的其他的这种这种业务
SPEAKER_04,19:22.500,19:24.000,就在少数股东权益里
